"wcID","workID","poetID","role","date"
527,14,167,"主要作者",""
528,55,403,"序作者","1886"
529,55,404,"序作者","1886"
530,55,405,"序作者","1887"
531,55,406,"傳記作者","1886"
613,61,156,"作者",""
539,14,330,"序作者",""
545,18,480,"凡例作者",""
546,20,2077,"作者",""
547,20,2078,"作者",""
548,21,2086,"題辭",""
549,51,263,"序作者",""
551,47,3554,"題辭","1830"
552,47,3555,"題辭","1830"
553,47,3556,"題辭","1830"
554,47,3557,"題辭","1830"
555,47,3558,"題辭","1830"
556,47,3559,"題辭","1830"
557,47,3560,"題辭","1830"
558,47,3561,"題辭","1830"
559,47,3562,"題辭","1830"
560,47,3563,"題辭","1830"
561,47,126,"題辭","1830"
562,47,338,"墓志詺作者","1830"
563,61,157,"作者",""
565,67,430,"序作者","1911"
566,67,429,"序作者","1911"
567,67,433,"序作者","1912"
568,57,345,"傳記作者",""
569,57,3825,"序作者","1852"
570,57,3828,"傳記作者","1853"
571,33,3900,"題辭",""
572,58,4101,"序作者",""
573,58,4102,"序作者","1912"
574,58,4103,"題辭",""
576,48,267,"題辭","1875"
577,49,4434,"校閲","1882"
578,49,4433,"校閲","1882"
582,40,315,"傳記作者","1875"
585,37,66,"作者",""
587,35,243,"作者",""
588,35,104,"作者",""
589,35,106,"作者",""
590,35,233,"作者",""
591,35,108,"作者",""
592,35,209,"作者",""
593,35,110,"作者",""
594,35,119,"作者",""
595,35,1161,"作者",""
596,35,877,"作者",""
597,35,1667,"作者",""
598,35,1895,"作者",""
599,35,3859,"作者",""
600,35,99,"作者",""
607,15,229,"題辭",""
602,35,1697,"作者",""
603,35,1415,"作者",""
605,35,165,"作者",""
606,35,1544,"作者",""
608,58,431,"年譜作者",""
609,54,406,"傳記作者","1886"
622,9,1951,"墓志詺作者",""
623,9,4399,"墓志詺作者",""
624,9,1977,"像贊作者",""
625,68,1664,"主要作者",""
626,69,43,"主要作者",""
627,70,911,"主要作者",""
628,71,163,"主要作者",""
629,72,1464,"主要作者",""
630,73,1435,"主要作者",""
631,74,1916,"主要作者",""
632,75,4569,"主要作者",""
633,76,222,"主要作者","1797"
634,77,202,"主要作者",""
635,78,4570,"主要作者",""
636,79,4570,"主要作者",""
637,81,1658,"主要作者",""
638,82,191,"主要作者",""
639,83,82,"主要作者",""
640,78,4571,"序作者","1921"
641,78,4572,"跋作者",""
643,87,4590,"编輯",""
645,84,621,"主要作者",""
646,85,748,"主要作者",""
647,86,1885,"主要作者",""
648,69,4582,"序作者","1637"
649,69,43,"序作者","1626"
650,76,222,"序作者","1797"
651,69,4582,"題辭","1626"
653,76,4600,"跋作者",""
654,76,4589,"跋作者",""
655,80,3828,"跋作者","1897"
656,72,4614,"序作者","1876"
657,71,92,"序作者","1846"
658,71,4578,"傳記作者",""
659,77,263,"序作者",""
660,83,4574,"序作者",""
661,83,4575,"序作者",""
