"prID","poetID","regionID"
1200,1373,110
1201,1372,110
1202,1375,83
1203,1376,149
1204,1378,239
1205,1379,48
1206,1381,141
1207,1382,400
1208,1383,173
1209,1384,10
1210,1385,150
1211,1386,110
1212,1387,401
1213,1388,187
1214,1389,402
1215,1390,113
1216,1391,16
1217,1392,153
1218,1393,403
1219,1394,367
1760,1546,128
1221,1396,404
6698,1397,83
1223,1398,405
1224,373,10
1225,1400,132
1226,1401,113
3257,3342,1126
1286,1403,308
3246,1404,430
1231,1190,83
1234,1406,408
1235,1407,48
1236,1408,165
1237,1410,409
3232,3886,48
1239,1412,410
1240,1413,150
1241,1414,197
1242,1415,187
1243,1416,149
1244,1417,10
1245,1418,48
1246,1419,149
1247,1420,347
1248,1421,247
1249,1422,225
1250,1423,84
1251,1424,411
1252,1426,120
1253,1427,196
1254,1428,75
1255,1429,110
1256,1430,375
1257,1431,10
1258,1432,412
1259,1433,64
1260,1434,48
1261,1435,64
1262,1436,2
1263,1437,93
1264,1438,110
1265,1439,110
3946,5079,1119
1267,1441,113
1268,1442,75
1269,1443,240
1270,1195,25
1276,551,308
1290,1447,113
1291,1448,394
1292,1449,353
1293,1450,409
1294,1451,409
1295,1452,409
1296,156,83
1298,1454,413
1299,1455,361
1300,1456,10
1301,1457,150
1302,1458,122
1303,1459,414
1304,1460,2
1305,1461,187
1306,1462,275
1307,1463,275
1308,1464,187
1309,1465,275
1310,1466,308
1311,1468,70
1312,1469,64
1313,1470,144
1314,1471,124
1315,1472,132
1316,1473,189
1317,1474,110
1318,1475,191
1319,697,191
1323,1477,10
1324,1478,48
1325,1479,187
1326,1480,160
1327,1481,141
1328,1482,110
1329,1483,122
1330,1484,415
1331,1485,197
1472,1661,308
1333,1487,72
1334,1488,68
1335,1489,50
1336,1490,284
1337,1491,48
1338,1492,93
1339,1493,63
1340,1494,16
1341,1495,187
1342,1496,141
1343,1497,416
1344,1498,191
1345,1499,72
1346,1500,304
1347,1501,122
1348,1502,239
3433,1503,93
1350,1504,122
1351,1505,332
1484,1672,206
1353,1507,191
1354,1508,319
1355,1509,197
1356,1510,417
1357,1511,418
1358,1512,234
1359,1513,39
1360,1514,200
1361,1515,110
1362,1516,48
1363,1517,201
1364,1518,10
1365,1519,60
1366,1520,419
1367,1521,113
1368,1522,420
1369,1524,58
1370,1523,421
1371,1525,83
1372,1526,150
1373,1528,302
1374,1529,70
1375,1527,70
1376,1530,10
1377,1532,63
1378,1533,63
1379,1534,10
1380,1535,212
1381,1536,176
1382,1537,248
1383,1538,97
1384,1539,295
1385,1540,76
1386,1541,99
1789,76,4
1388,1543,153
1389,1544,93
1390,1545,206
1761,1948,319
1392,1547,110
1393,1548,167
1394,1549,63
1395,1550,140
1396,1551,422
1397,1552,289
1398,1553,113
1399,1554,300
1400,1555,423
1401,1556,424
2628,3763,99
1403,1558,191
1404,1559,308
1405,1560,308
1406,1561,165
1407,1562,425
1408,1563,48
1409,1564,308
1410,1565,108
1411,1566,307
1412,1567,108
1413,1568,108
1414,1569,56
1415,1570,56
1416,1571,132
1417,1572,426
1418,1573,191
1419,1574,308
1420,1575,64
1421,1592,44
1422,1613,10
1423,1614,329
1424,1615,317
3259,1616,427
1427,1617,60
1428,1619,10
1429,1618,25
1430,1620,48
1431,1621,18
1432,1622,187
1433,1623,221
1434,1625,48
1435,1626,120
1436,1627,120
1437,1628,97
2594,3360,165
1439,1630,120
1440,1631,428
1441,1632,329
1442,1633,275
1443,1634,220
1444,1635,66
1445,1636,222
1446,1637,252
1447,1638,429
1448,1639,93
1449,1640,58
1450,1641,83
1451,1137,317
1455,1644,99
3428,1645,811
1457,1646,431
1458,1647,366
1459,1648,48
1460,1649,18
1461,1650,205
1462,1651,308
1463,1652,83
1464,1653,110
1465,1654,302
3170,3464,150
1828,1656,254
1468,1657,93
1469,1658,132
1471,1486,173
1473,1662,18
1474,1663,93
1475,1664,48
1476,1665,26
1477,1666,10
1478,1667,132
1479,1668,191
1480,1669,432
1483,1671,66
1482,1670,50
1485,1673,110
1486,1674,433
1487,1675,88
1488,1676,335
3279,877,300
1490,1678,434
1491,1679,110
3231,3473,627
1493,1681,70
1494,1682,212
2623,2712,1087
1496,1684,18
1497,1685,18
1498,1686,18
1499,1687,48
1500,1688,197
1501,1689,25
1502,1690,120
1503,1691,58
1504,1692,173
1505,1693,436
1506,1694,196
1507,1695,10
1508,1696,39
1509,1697,206
1510,1698,371
1511,1699,63
1512,1700,417
1513,1701,121
3256,3349,1133
1515,1703,437
1516,1704,176
1517,1705,48
1520,1706,187
1519,1707,113
1521,1708,133
1522,1709,16
1523,1710,18
1524,1711,438
1525,1712,57
1526,1713,264
1527,1714,70
1528,1715,140
1529,1716,187
1530,1717,93
1531,1718,144
1532,1719,94
1533,1720,308
1534,1721,57
1535,1722,120
1536,1723,39
1537,1724,197
1538,1725,396
1539,1726,439
1540,1727,133
1541,1728,363
1542,1729,280
1543,1730,26
1544,1731,304
1545,1732,4
1546,1733,83
1547,1734,122
1548,1735,83
1549,1736,371
1550,1737,25
1551,1738,93
1552,1739,30
1553,1740,128
1554,1741,10
1555,1742,345
1556,1743,184
1557,1744,75
1558,1745,171
1559,1746,110
1560,1747,18
1561,1748,197
1562,1749,275
1563,1750,275
1564,1751,64
1565,1752,308
1566,1753,48
1567,1754,191
1568,1755,440
1569,1756,378
1570,1757,10
1571,1758,70
1572,1759,234
1573,1760,39
1574,1761,10
1575,1762,394
1576,1763,10
1577,1764,420
1578,1765,441
1579,1766,150
1580,1767,442
1633,1820,113
1582,1769,153
1583,1770,167
1584,1771,308
2909,4102,26
1586,1773,48
1587,1774,70
1588,1775,167
1589,1776,167
1590,1777,110
1591,1778,58
1592,1779,150
1593,1780,319
1594,1781,187
3649,1782,141
1596,1783,200
1597,1784,120
1598,1785,204
6143,4678,928
1600,1787,443
1601,1788,147
1602,1789,150
1603,1790,200
1604,1791,83
1605,1792,76
1606,1793,16
1607,1794,84
1608,1795,396
1609,1796,396
1610,1797,48
1611,1798,269
1612,1799,66
1613,1800,178
1614,1801,173
1615,1802,79
1616,1803,204
1617,1804,352
1618,1805,444
1619,1806,442
1620,1807,39
1621,1808,173
1622,1809,308
1623,1810,445
1624,1811,16
1625,1812,16
1626,1813,446
1627,1814,63
1628,1815,150
1629,1816,121
1630,1817,50
1631,1818,447
1632,1819,197
1634,1821,94
1635,1822,58
1636,1823,206
1637,1824,295
1638,1825,56
1639,1826,39
1640,1827,110
1641,1828,25
1642,1829,48
1643,1830,18
1644,1831,165
1645,1832,308
1646,1833,396
1647,1834,110
1648,1835,16
1649,1836,48
1650,1837,448
1651,1838,48
1652,1839,173
1653,1840,122
1654,1841,25
1655,1842,66
1656,1843,202
1657,1844,97
1658,1845,16
1659,1846,18
1660,1847,250
1661,1848,18
1662,1849,18
1663,1850,48
1664,1851,50
1665,1852,25
1666,1853,60
1667,1854,60
1668,1855,449
3456,4571,60
1670,1858,141
1671,1857,150
1672,1859,110
1673,1860,176
1674,1861,79
1675,1862,312
1676,1864,18
1677,1863,196
1678,1865,18
1679,1866,18
1680,1868,450
1681,1867,10
1682,1869,16
1683,1870,18
1684,1871,25
1685,1873,18
1686,1874,184
1687,1875,72
1688,1876,72
1689,1877,141
1690,1878,48
1691,1879,25
1692,1880,141
1693,1881,18
1694,1882,58
1695,1884,10
1696,1885,316
1697,1886,451
1698,1887,48
1699,1888,150
1700,1889,308
1701,1890,97
3262,385,1135
2409,3372,150
1704,1892,255
1705,1893,16
1706,1894,132
1707,1895,70
1708,1896,412
1709,1897,352
1710,1898,141
1711,1899,308
1712,1900,25
1713,1901,18
1714,1902,376
1715,1903,25
1716,1904,25
1717,1905,25
1718,1906,25
1719,1907,197
1720,1908,70
1721,1909,93
1722,1910,451
1723,1911,25
1724,1912,110
1725,1913,83
1726,1914,275
1727,1915,453
1728,1916,64
1729,1917,64
1730,1918,64
1731,1919,64
1732,1920,176
1733,1921,120
1734,1922,110
1735,1923,454
1736,1924,93
1737,1925,176
1738,1926,176
1739,1927,84
1740,1928,208
1741,1929,25
1742,1930,18
1743,1931,250
1744,1932,455
1745,1933,18
1746,1934,18
1747,1935,451
1748,1936,456
1749,1937,457
1750,1938,191
1751,1939,250
1752,1940,250
1753,1941,305
1754,1942,50
1755,1943,16
3068,1944,1117
2624,2702,1066
1758,1395,128
1762,1949,173
1763,1950,58
1764,1951,458
3384,1952,1158
1766,1953,141
3267,1954,49
1768,953,459
1769,1956,371
1770,1957,46
1771,1958,46
1772,1960,46
1773,1961,460
3268,1962,49
1777,1966,209
1776,1964,154
1778,1967,76
3128,1971,58
1780,1970,171
1781,1972,18
1782,1973,110
1783,1974,197
1784,1975,110
1785,1976,335
1817,300,8
1787,1402,284
1796,1984,126
1875,2128,493
1967,1987,801
2627,2109,1090
1860,1990,497
2150,1991,914
1802,1994,464
2172,1996,920
3263,1999,924
3666,4685,171
2786,2010,1103
2783,3965,1037
3211,2018,18
2743,2025,1100
1810,1683,99
1812,2001,471
1813,2030,48
3202,4439,99
1819,2033,165
1820,2034,165
1968,2045,802
1822,2046,472
1823,2047,473
1857,2049,496
3255,2050,1132
1826,2052,440
3254,2053,1131
1829,2054,64
1830,2059,476
1831,2058,476
1832,2064,419
1850,2108,486
1834,2072,121
3242,3573,72
1836,2076,480
1837,2077,79
1838,2078,79
4239,2079,62
3123,1380,25
1842,2087,196
1866,270,629
1844,2091,84
1845,1189,84
1847,2102,482
1848,2104,479
1849,2065,479
1858,2112,496
1887,2113,771
1853,2118,488
1854,2123,490
3448,2947,1173
1856,2125,493
1867,271,628
1871,1977,84
1872,363,140
1873,2014,634
1886,2130,770
1877,2133,635
3293,273,18
1879,2135,88
1880,1444,48
1881,2137,132
1882,2138,16
1883,2139,16
1884,2140,25
1885,2127,636
1888,2143,487
1889,2144,772
1890,2148,773
1891,2153,775
1892,2163,776
1893,2164,777
1894,2178,778
1913,2232,622
1896,2188,779
1897,2189,780
1898,2190,781
