"ppgID","poemID","pageID"
83777,53355,148
83783,53360,149
83782,53359,149
83781,53358,149
362,2490,150
363,2491,150
364,2492,150
365,2493,151
366,2494,151
367,2495,151
368,2496,152
369,2497,152
370,2498,152
371,2499,153
372,2500,153
373,2501,153
374,2501,154
375,2502,154
83784,53361,154
83788,53364,155
83787,53363,155
83796,53369,157
83794,53369,156
83793,53368,156
83797,53370,157
83800,53372,158
83799,53372,157
83798,53371,157
83807,53379,160
83803,53375,158
83802,53374,158
83801,53373,158
390,2513,159
391,2514,159
83804,53376,159
83806,53378,160
83805,53377,160
83814,53383,162
83812,53383,161
83811,53382,161
83810,53381,161
83817,53386,162
83816,53385,162
83815,53384,162
83821,53388,164
83819,53387,163
83820,53388,163
83824,53391,164
83823,53390,164
83822,53389,164
408,2526,165
409,2533,165
410,2534,165
411,2534,166
412,2535,166
413,2536,166
414,2537,166
415,2537,167
416,2539,167
417,2540,167
83825,53392,167
83827,53393,168
83828,53394,168
421,2544,169
422,2547,169
423,2548,169
424,2549,170
425,2550,170
8264,6303,4064
427,2552,170
428,2552,171
429,2553,171
430,2554,171
431,2555,171
432,2555,172
433,2557,172
434,2558,172
435,2558,173
436,2559,173
437,2560,173
438,2561,173
439,2561,174
440,2663,174
441,2664,174
442,2665,175
443,2666,175
444,2667,175
445,2667,176
446,2668,177
447,2669,177
448,2670,177
449,2671,178
450,2672,178
451,2673,178
452,2673,179
453,2674,179
454,2675,179
455,2676,179
456,2676,180
457,2677,180
459,2683,180
460,2684,180
461,2684,181
462,2686,181
463,2687,181
464,2688,181
465,2688,182
466,2689,182
467,2690,182
468,2690,183
469,2691,183
470,2692,183
471,2694,183
472,2694,184
473,2696,184
474,2697,184
83832,53398,184
83836,53401,185
83835,53400,185
83834,53399,185
479,2711,186
480,2712,186
481,2713,186
482,2714,187
83837,53402,187
83843,53408,188
83847,53411,290
83846,53410,189
83845,53409,189
488,2718,190
489,2719,190
490,2723,191
491,2724,192
492,2724,193
493,2724,194
494,2724,195
495,2726,196
496,2727,196
497,2727,197
498,2735,190
499,2735,198
500,2738,198
501,2740,198
502,2740,199
503,2743,199
504,2744,199
505,2745,200
506,2748,200
507,2749,200
508,2749,201
509,2751,202
510,2751,203
511,2751,204
512,2751,205
513,2753,206
514,2754,206
515,2754,207
516,2757,207
517,2759,207
518,2759,208
519,2760,208
520,2760,209
521,2761,209
522,2762,210
523,2763,210
524,2763,211
525,2764,211
526,2764,212
527,2765,212
528,2766,212
529,2766,213
530,2766,214
