"regionID","parentRegionID","regionHZ","regionPY","VariantName","PresentdayEquivalent","PresentdayEquivalentPY"
760,0,"荊州刺史部(東漢)","Jingzhou Cishibu","","",""
761,0,"揚州刺史部(東漢)","Yangzhou Cishibu","","",""
762,0,"益州刺史部(東漢)","Yizhou Cishibu","","",""
764,0,"涼州刺史部(東漢)","Liangzhou Cishibu","","",""
765,0,"并州刺史部(東漢)","Bingzhou Cishibu","","",""
766,0,"幽州刺史部(東漢)","Youzhou Cishibu","","",""
767,0,"交州刺史部(東漢)","Jiaozhou Cishibu","","",""
768,0,"西域都護府(東漢)","Xiyu Duhufu","","",""
769,0,"鮮卑等部(東漢)","Xianbei Deng Bu","","",""
771,640,"襄陽","Xiangyang","","湖北襄樊","Hubei Xiangfan"
772,587,"晉江","Jinjiang","","福建晉江","Fujian Jinjiang"
773,579,"臨川","Linchuan","","江西撫州","Jiangxi Fuzhou"
775,549,"江都","Jiangdu","","江蘇揚州","Jiangsu Yangzhou"
776,611,"鹽官","Yanguan","","浙江海寧","Zhejiang Haining"
777,566,"祥符","Xiangfu","","河南開封","Henan Kaifeng"
778,610,"臨安","Lin'an","","浙江杭州","Zhejiang Hangzhou"
779,546,"大同","Datong","","山西大同","Shanxi Datong"
780,557,"龍游","Longyou","","浙江龍游","Zhejiang Longyou"
781,557,"臨海","Linhai","","浙江臨海","Zhejiang Linhai"
