"hwkID","NamePY","NameHZ","Region","Page"
1970,"Zhu Fanghui","朱 芳 徽"," 福 建 候 官 人",276
1971,"Zhu Geng","朱 庚"," 浙 江 上 海 人",277
1972,"Zhu Guiying","朱 桂 英"," 任 和 人",97
1973,"Zhu Hui","朱 蕙"," 江 蘇 婁 縣 人",284
1974,"Zhu Huijin","朱 蕙 錦"," 江 蘇 常 熟 人",284
1975,"Zhu Huizhen","朱 蕙 珍"," 江 蘇 無 錫 人",284
1976,"Zhu Jing","朱 景"," 江 蘇 長 洲 人",281
1977,"Zhu Jingsu","朱 景 素"," 江 蘇 上 元 人",281
1978,"Zhu Jingxiao","朱 靜 霄"," 湖 北 通 山 人",285
1979,"Zhu Jingzhen","褚 靜 貞"," 浙 江 嘉 興 人",703
1980,"Zhu Juling","朱 菊 齡"," 福 建 浦 城 人",281
1981,"Zhu Jun","朱 均"," 江 蘇 常 州 人",276
1982,"Zhu Kui","朱 逵"," 浙 江 海 鹽 人",281
1983,"Zhu Kunran","朱 坤 然"," 安 徽 霍 山 人",277
1984,"Zhu Lan","朱 蘭"," 夢 香 甘 泉 人",285
1985,"Zhu Lan","朱 蘭"," 畹 香 含 山 人",286
1986,"Zhu Lan","朱 蘭"," 畹 芳 吳 江 人",285
1987,"Zhu Longji","朱 隆 姬 （ 明 宗 室 ）","",98
1988,"Zhu Mei","朱 梅"," 浙 江 海 寧 人",279
1989,"Zhu Meixiu","朱 梅 秀"," 湖 南 酈 縣 人",280
1990,"Zhu Meiyao","朱 美 瑤"," 廣 東 南 海 人",278
1991,"Zhu Meiying","朱 美 英"," 浙 江 海 鹽 人",278
1992,"Zhu Mengli","朱 夢 黎"," 江 蘇 無 錫 人",283
1993,"Zhu Mu","朱 燕"," 江 蘇 華 亭 人",283
1994,"Zhu Peilan","朱 佩 蘭"," 江 蘇 江 陰 人",277
1995,"Zhu Peixia","朱 佩 霞"," 江 蘇 江 陰 人",277
1996,"Zhu Qingyuan","朱 清 遠"," 浙 江 任 和 人",280
1997,"Zhu Qiongxiang","祝 瓊 湘"," 廣 東 番 禺 人",486
1998,"Zhu Qiu","朱 球"," 江 蘇 上 海 人",281
1999,"Zhu Renshu","朱 認 淑"," 江 蘇 蕭 縣 人",278
2000,"Zhu Rongzhen","朱 榮 珍"," 江 蘇 上 元 人",282
2001,"Zhu Rouying","朱 柔 英"," 昆 山 人",95
2002,"Zhu Rouze","朱 柔 則"," 浙 江 錢 塘 人",278
2003,"Zhu Ruyu","朱 如 玉"," 浙 江 任 和 人",276
2004,"Zhu Sen","朱 森"," 浙 江 嘉 興 人",281
2005,"Zhu Shaoxiang","朱 韶 香"," 福 建 建 寧 人",283
2006,"Zhu shi","朱 氏","",46
2007,"Zhu shi","朱 氏 （ 李 壆 妻 ）"," 江 蘇 太 倉 人",286
2008,"Zhu shi","朱 氏 （ 周 聽 筠 妻 ）","  江 蘇 上 元 人",286
2009,"Zhu shi","朱 氏 （ 查 大 讓 妻 ）"," 海 寧 人",100
2010,"Zhu shi","朱 氏 （ 孫 某 妻 ）"," 浙 江 嘉 興 人",286
2011,"Zhu shi","朱 氏 （ 潘 庭 筠 妻 ）"," 浙 江 錢 塘 人",286

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
