"swpID","subworkID","poemID"
171,0,2197
172,0,2198
173,0,2199
174,0,2200
175,0,2204
176,0,2205
177,0,2206
178,0,2207
179,0,2208
12052,214,15792
181,0,2449
182,0,2451
183,0,2452
184,0,2453
185,0,2454
186,0,2455
187,0,2456
188,0,2457
189,0,2458
190,0,2459
191,0,2460
192,0,2461
193,0,2462
194,0,2463
195,0,2464
196,0,2465
197,0,2466
198,0,2467
199,0,2468
12051,214,15781
201,0,2470
202,0,2471
203,0,2472
204,0,2473
205,0,2474
206,0,2475
207,0,2476
208,0,2477
209,0,2478
210,0,2479
211,0,2480
212,0,2481
213,0,2482
214,0,2483
215,0,2484
216,0,2485
217,0,2486
218,0,2487
219,0,2488
220,0,2489
221,0,2490
222,0,2491
223,0,2492
224,0,2493
225,0,2494
226,0,2495
227,0,2496
228,0,2497
229,0,2498
230,0,2499
231,0,2500
232,0,2501
233,0,2502
234,0,2503
235,0,2504
236,0,2505
237,0,2506
238,0,2507
239,0,2508
240,0,2509
241,0,2510
242,0,2511
243,0,2512
244,0,2513
245,0,2514
246,0,2515
247,0,2516
248,0,2517
249,0,2518
250,0,2519
251,0,2520
252,0,2521
253,0,2522
254,0,2523
255,0,2524
256,0,2525
257,0,2526
258,0,2002
259,0,2533
260,0,2534
261,0,2535
262,0,2536
263,0,2537
264,0,2539
265,0,2540
266,0,2541
267,0,2543
268,0,2547
269,0,2548
270,0,2549
271,0,2550
12050,214,15776
273,0,2552
274,0,2553
275,0,2554
276,0,2555
277,0,2557
278,0,2558
279,0,2559
280,0,2560
282,0,2561
283,0,2663
284,0,2664
285,0,2665
286,0,2666
287,0,2667
288,0,2668
289,0,2669
290,0,2670
291,0,2671
292,0,2672
293,0,2673
294,0,2674
295,0,2675
296,0,2676
297,0,2677
298,0,2683
299,0,2684
300,0,2686
301,0,2687
302,0,2688
303,0,2689
304,0,2690
305,0,2691
306,0,2692
307,0,2694
308,0,2696
309,0,2697
310,0,2698
311,0,2699
312,0,2700
313,0,2711
314,0,2712
315,0,2713
316,0,2714
317,0,2715
318,0,2716
319,0,2717
320,0,2718
321,0,2719
322,0,2723
1884,0,2724
1885,0,2726
1886,0,2727
326,0,2738
327,0,2740
328,0,2743
329,0,2744
330,0,2748
331,0,2749
1892,0,2754
333,0,2757
1893,0,2759
1895,0,2760
336,0,2761
1896,0,2763
1897,0,2764
339,0,2765
1899,0,2766
1900,0,2767
342,0,2768
1903,0,2769
344,0,2770
345,0,2771
346,0,2773
1904,0,2774
348,0,2775
349,0,2776
1905,0,2777
351,0,2831
352,0,2832
353,0,2833
354,0,2834
355,0,2835
356,0,2836
357,0,2837
358,0,2838
12284,0,2839
360,0,2840
361,0,2841
362,0,2842
1731,0,2843
1906,0,2844
365,0,2845
1733,0,2846
1745,0,2847
1749,0,2848
1907,0,2853
1908,0,2854
371,0,2855
1755,0,2856
1909,0,2857
374,0,2858
1756,0,2859
376,0,2861
1913,0,2862
378,0,2863
379,0,2864
1914,0,2865
1915,0,2866
1760,0,2867
383,0,2868
1917,0,2869
385,0,2870
386,0,2871
387,0,2873
1919,0,2874
389,0,2875
390,0,2876
391,0,2877
1762,0,2878
393,0,2879
1766,0,2880
395,0,2881
396,0,2882
1770,0,2883
399,0,2884
400,0,2885
401,0,2886
402,0,2887
403,0,2888
404,0,2889
405,0,2890
406,0,2891
407,0,2892
408,0,2893
409,0,2894
410,0,2895
411,0,2896
412,0,2897
413,0,2898
414,0,2899
415,0,2900
416,0,2901
417,0,2902
418,0,2903
419,0,2904
420,0,2905
421,0,2906
422,0,2907
423,0,2908
424,0,2909
425,0,2910
426,0,2911
427,0,2912
1920,0,2934
1922,0,2935
430,0,2936
1924,0,2937
1926,0,2938
1928,0,2939
434,0,2940
435,0,2941
1929,0,2943
437,0,2944
1930,0,2945
439,0,2946
1931,0,2947
441,0,2948
1932,0,2949
443,0,2950
1933,0,2951
1934,0,2952
446,0,2953
1935,0,2954
1937,0,2955
1939,0,2956
450,0,2957
1940,0,2958
452,0,2959
1941,0,2960
454,0,2961
1942,0,2962
456,0,2963
1944,0,2964
458,0,2965
1945,0,2966
1946,0,2967
461,0,2968
1948,0,2970
463,0,2971
1950,0,2972
465,0,2973
466,0,2974
467,0,2977
1951,0,2978
469,0,2979
