StartYear,None,七言古詩,七言律詩,七言排律,七言絕句,七言聯句,三言詩,五言古詩,五言律詩,五言排律,五言絕句,五言聯句,偈,六言詩,其他,四言詩,未定,樂府,雜言詩,騒體
1800,4,19,314,1,422,3,0,38,208,12,25,1,0,2,0,0,1,13,5,0
1801,0,16,144,0,100,0,0,22,96,23,12,0,0,1,0,1,0,5,5,0
1802,1,4,15,0,49,0,0,17,31,0,12,0,0,1,0,1,0,1,0,1
1803,0,0,7,1,43,1,0,1,17,0,12,0,0,1,0,0,0,5,1,0
1804,1,7,45,0,112,0,0,11,60,0,29,4,0,0,0,1,0,5,1,0
1805,0,1,3,2,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1806,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,0,0,7,0,2,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0
1808,3,19,243,3,276,0,0,10,50,6,33,0,0,0,0,0,0,0,1,1
1809,0,2,34,2,14,0,0,2,10,0,6,0,0,0,0,0,0,1,0,0
1810,4,8,94,1,115,0,0,7,33,4,14,0,0,0,0,0,0,6,2,1
1811,0,0,29,3,49,0,0,0,17,2,3,0,0,0,0,1,0,0,0,0
1812,0,1,5,0,2,0,0,2,5,1,0,0,0,0,0,0,0,4,0,0
1813,0,12,24,1,17,0,0,9,16,0,2,0,0,0,0,2,0,2,2,0
1814,1,2,58,1,50,0,0,3,4,1,6,0,0,0,0,0,0,3,0,0
1815,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1816,0,8,127,5,158,11,0,3,24,3,15,0,0,0,1,1,0,1,0,0
1817,0,11,29,0,116,0,0,8,29,0,5,0,0,0,0,1,0,0,0,1
1818,0,1,6,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
1819,1,4,41,0,157,0,0,15,39,1,11,4,0,0,0,0,0,0,0,0
1820,0,9,157,1,218,0,0,16,55,2,18,0,0,1,0,0,0,0,0,0
1821,8,66,674,4,808,12,0,99,436,48,117,9,0,0,1,2,0,11,12,2
1822,0,2,39,1,64,0,0,5,18,5,8,0,0,0,0,0,0,0,0,0
1823,0,0,21,1,90,0,0,0,5,0,3,0,0,0,0,0,0,1,0,0
1824,0,4,28,2,19,0,0,3,23,3,5,0,0,0,0,0,0,1,0,0
1825,0,6,60,0,157,0,0,24,47,1,14,0,0,0,0,0,0,0,2,0
1826,0,34,71,0,127,0,0,16,30,1,12,0,0,0,0,0,0,0,1,0
1827,2,130,225,2,132,0,0,104,78,3,23,0,0,0,0,2,0,12,2,2
1828,0,0,6,0,5,0,0,14,2,0,3,0,0,0,0,0,0,0,1,0
1829,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1830,0,4,130,4,61,0,0,10,23,2,8,0,0,0,0,0,0,1,1,0
1831,4,75,187,3,117,0,0,98,149,5,16,1,0,4,0,8,0,25,30,3
1832,0,30,110,1,121,0,0,65,52,4,15,0,0,0,0,0,0,11,0,0
1833,0,1,18,0,60,0,0,3,25,1,6,0,0,0,0,0,0,0,1,0
1834,0,2,41,4,37,0,0,10,21,0,3,0,0,0,0,0,0,2,0,0
1835,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1836,0,0,34,0,16,0,0,6,30,0,0,0,0,0,0,0,0,0,0,0
1837,0,3,38,1,55,2,0,6,12,1,3,0,0,1,0,0,0,2,0,0
1838,1,19,82,1,72,1,0,28,55,0,7,0,0,1,0,0,0,5,0,0
1839,1,0,10,0,18,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1840,0,6,100,1,173,2,0,5,40,1,19,6,0,0,0,0,0,1,0,0
1841,0,16,116,0,199,2,0,15,41,0,14,0,0,0,0,1,0,2,2,0
1842,0,0,21,0,43,0,0,0,6,0,5,0,0,1,4,0,0,0,0,1
1843,1,6,37,0,40,0,0,6,8,0,3,0,0,0,0,0,0,0,1,0
1844,0,0,2,0,20,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1845,2,0,143,5,33,3,0,1,4,6,3,0,0,0,0,0,0,0,0,0
1846,0,1,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1847,0,20,203,4,140,0,0,34,67,4,58,0,0,0,0,2,0,2,1,0
1848,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1849,0,2,19,0,18,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0
1850,1,11,159,1,201,3,0,39,89,6,29,7,0,0,0,3,0,2,4,5
1851,2,8,176,1,214,1,0,26,70,3,15,1,0,0,0,2,0,18,3,0
1852,0,4,10,0,35,1,1,3,6,0,6,3,0,0,0,0,0,0,1,0
1853,0,27,60,7,68,0,0,61,28,12,7,0,0,0,0,2,0,9,9,0
1854,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1855,0,5,7,0,47,1,0,1,8,0,4,4,0,0,0,0,0,0,0,0
1856,0,10,46,0,20,0,0,8,17,0,3,0,0,0,0,0,0,0,0,0
1857,0,16,109,0,58,11,0,23,80,4,5,15,0,0,0,0,0,16,0,0
1858,0,15,159,0,150,17,0,27,79,2,17,16,0,0,0,0,0,2,0,0
1859,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1860,0,1,2,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
1861,0,0,12,0,93,0,0,5,16,1,2,0,0,0,0,0,0,0,0,0
1862,2,20,130,5,188,1,0,40,60,1,44,0,0,7,0,0,0,0,3,0
1863,1,3,41,1,49,0,0,1,10,60,13,0,0,1,0,0,0,1,4,0
1864,5,46,203,0,230,0,0,64,112,4,17,0,0,0,0,0,0,0,2,3
1865,3,1,25,0,37,0,0,1,5,0,10,0,0,0,2,0,0,1,0,0
1866,131,12,26,2,43,0,0,11,12,4,14,6,0,0,0,0,0,11,1,0
1867,0,0,32,1,59,4,0,9,4,0,7,1,0,2,0,0,0,0,0,0
1868,1,0,42,1,46,0,0,4,7,7,8,0,0,0,0,0,0,0,0,0
1869,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,0,1,53,0,260,0,0,3,50,1,4,0,0,0,0,0,0,0,16,0
1872,0,2,23,0,26,0,0,2,20,0,1,0,0,1,0,0,0,0,0,0
1873,5,8,149,0,136,4,0,5,23,0,19,3,0,1,0,2,0,2,1,0
1874,1,13,25,0,43,0,0,5,15,1,2,0,0,1,0,0,0,2,0,0
1875,4,17,110,7,234,0,0,17,50,5,27,0,0,0,0,0,1,0,1,0
1877,1,5,6,0,39,0,0,53,10,1,58,0,0,2,0,35,0,0,6,0
1879,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1880,0,0,11,0,7,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
1881,1,7,16,0,18,0,0,115,48,0,8,0,0,0,0,2,0,0,2,0
1882,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1883,1,1,17,1,17,0,0,0,6,2,1,1,0,0,0,0,0,0,2,0
1884,0,10,62,1,91,0,0,21,31,0,26,0,0,0,0,0,0,0,1,0
1885,0,17,42,0,96,4,0,20,15,1,20,3,0,0,0,2,0,12,0,0
1887,2,19,42,1,156,0,0,26,5,2,12,0,0,0,0,3,0,0,0,0
1888,1,2,58,1,141,3,0,0,18,0,24,2,0,0,1,0,0,0,2,3
1889,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,0,0,23,0,27,0,0,9,20,0,2,0,0,0,1,0,0,0,0,0
1891,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1893,0,2,4,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1894,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,1,6,82,0,215,0,0,2,12,0,5,0,0,0,0,0,0,0,1,0
1898,0,0,29,0,39,0,0,1,13,0,10,0,0,0,0,0,0,0,0,0
1900,2,18,41,0,66,0,0,25,27,1,14,0,0,0,0,0,0,8,0,0
1901,0,24,15,1,68,0,0,20,20,4,31,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1910,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
